tipo,nome,tabela,definicao
POLITICA,Permitir exclusao de quiz para autenticados,quiz_questions,roles=authenticated | comando=DELETE | using=true | with_check=—
POLITICA,Permitir exclusão de pastas para autenticados,training_folders,roles=authenticated | comando=DELETE | using=true | with_check=—
POLITICA,Permitir exclusão de treinamentos para autenticados,trainings,roles=authenticated | comando=DELETE | using=true | with_check=—
POLITICA,Permitir insercao de quiz para autenticados,quiz_questions,roles=authenticated | comando=INSERT | using=— | with_check=true
POLITICA,Permitir inserção de pastas para autenticados,training_folders,roles=authenticated | comando=INSERT | using=— | with_check=true
POLITICA,Permitir inserção de perfil proprio,users_profiles,roles=authenticated | comando=INSERT | using=— | with_check=true
POLITICA,Permitir inserção de treinamentos para autenticados,trainings,roles=authenticated | comando=INSERT | using=— | with_check=true
POLITICA,Permitir leitura de pastas para autenticados,training_folders,roles=authenticated | comando=SELECT | using=true | with_check=—
POLITICA,Permitir leitura de perfis para autenticados,users_profiles,roles=authenticated | comando=SELECT | using=true | with_check=—
POLITICA,Permitir leitura de quiz para autenticados,quiz_questions,roles=authenticated | comando=SELECT | using=true | with_check=—
POLITICA,Permitir leitura de treinamentos para autenticados,trainings,roles=authenticated | comando=SELECT | using=true | with_check=—
POLITICA,Somente admin cria agenda,training_schedules,"roles=authenticated | comando=INSERT | using=— | with_check=(EXISTS ( SELECT 1
   FROM users_profiles
  WHERE ((users_profiles.id = auth.uid()) AND (users_profiles.role = 'admin'::text))))"
POLITICA,Somente admin deleta agenda,training_schedules,"roles=authenticated | comando=DELETE | using=(EXISTS ( SELECT 1
   FROM users_profiles
  WHERE ((users_profiles.id = auth.uid()) AND (users_profiles.role = 'admin'::text)))) | with_check=—"
POLITICA,Somente admin edita agenda,training_schedules,"roles=authenticated | comando=UPDATE | using=(EXISTS ( SELECT 1
   FROM users_profiles
  WHERE ((users_profiles.id = auth.uid()) AND (users_profiles.role = 'admin'::text)))) | with_check=—"
POLITICA,Todos autenticados podem ler audit log,schedule_audit_log,roles=authenticated | comando=SELECT | using=true | with_check=—
POLITICA,Todos podem ver SOCs,socs,roles=authenticated | comando=SELECT | using=true | with_check=—
POLITICA,Todos podem ver processos micros,soc_micro_trainings,roles=public | comando=SELECT | using=true | with_check=—
POLITICA,Users can update own profile,users_profiles,roles=authenticated | comando=UPDATE | using=(id = auth.uid()) | with_check=—
POLITICA,Users can view all profiles,users_profiles,roles=authenticated | comando=SELECT | using=true | with_check=—
RLS_ENABLED,backup_assinaturas_05_08,null,ATIVO
RLS_ENABLED,collaborators,null,ATIVO
RLS_ENABLED,folders,null,ATIVO
RLS_ENABLED,instructors,null,ATIVO
RLS_ENABLED,materials,null,ATIVO
RLS_ENABLED,quiz_attempts,null,ATIVO
RLS_ENABLED,quiz_questions,null,ATIVO
RLS_ENABLED,schedule_audit_log,null,ATIVO
RLS_ENABLED,soc_micro_trainings,null,ATIVO
RLS_ENABLED,socs,null,ATIVO
RLS_ENABLED,sync_locks,null,ATIVO
RLS_ENABLED,training_folders,null,ATIVO
RLS_ENABLED,training_schedule_enrollments,null,ATIVO
RLS_ENABLED,training_schedules,null,ATIVO
RLS_ENABLED,training_scheduling_request_collaborators,null,ATIVO
RLS_ENABLED,training_scheduling_requests,null,ATIVO
RLS_ENABLED,trainings,null,ATIVO
RLS_ENABLED,trainings_completed,null,ATIVO
RLS_ENABLED,units,null,ATIVO
RLS_ENABLED,users_profiles,null,ATIVO
