tipo,nome,tabela,definicao
INDICE,training_folders_pkey,training_folders,CREATE UNIQUE INDEX training_folders_pkey ON public.training_folders USING btree (id)
INDICE,idx_enrollment_date,training_schedule_enrollments,CREATE INDEX idx_enrollment_date ON public.training_schedule_enrollments USING btree (scheduled_date)
INDICE,idx_enrollment_schedule,training_schedule_enrollments,CREATE INDEX idx_enrollment_schedule ON public.training_schedule_enrollments USING btree (schedule_id)
INDICE,training_schedule_enrollments_pkey,training_schedule_enrollments,CREATE UNIQUE INDEX training_schedule_enrollments_pkey ON public.training_schedule_enrollments USING btree (id)
INDICE,training_schedule_enrollments_schedule_id_collaborator_id_s_key,training_schedule_enrollments,"CREATE UNIQUE INDEX training_schedule_enrollments_schedule_id_collaborator_id_s_key ON public.training_schedule_enrollments USING btree (schedule_id, collaborator_id, scheduled_date)"
INDICE,idx_schedule_day,training_schedules,CREATE INDEX idx_schedule_day ON public.training_schedules USING btree (day_of_week)
INDICE,training_schedules_pkey,training_schedules,CREATE UNIQUE INDEX training_schedules_pkey ON public.training_schedules USING btree (id)
INDICE,training_scheduling_request_collaborators_pkey,training_scheduling_request_collaborators,CREATE UNIQUE INDEX training_scheduling_request_collaborators_pkey ON public.training_scheduling_request_collaborators USING btree (id)
INDICE,training_scheduling_requests_pkey,training_scheduling_requests,CREATE UNIQUE INDEX training_scheduling_requests_pkey ON public.training_scheduling_requests USING btree (id)
INDICE,trainings_pkey,trainings,CREATE UNIQUE INDEX trainings_pkey ON public.trainings USING btree (id)
INDICE,idx_trainings_completed_collab_id,trainings_completed,CREATE INDEX idx_trainings_completed_collab_id ON public.trainings_completed USING btree (collaborator_id)
INDICE,idx_trainings_completed_collaborator_soc,trainings_completed,CREATE INDEX idx_trainings_completed_collaborator_soc ON public.trainings_completed USING btree (collaborator_soc)
INDICE,idx_trainings_completed_completed_at,trainings_completed,CREATE INDEX idx_trainings_completed_completed_at ON public.trainings_completed USING btree (completed_at DESC)
INDICE,idx_trainings_completed_instructor,trainings_completed,CREATE INDEX idx_trainings_completed_instructor ON public.trainings_completed USING btree (instructor_name)
INDICE,idx_trainings_completed_training,trainings_completed,CREATE INDEX idx_trainings_completed_training ON public.trainings_completed USING btree (training_type)
INDICE,trainings_completed_pkey,trainings_completed,CREATE UNIQUE INDEX trainings_completed_pkey ON public.trainings_completed USING btree (id)
INDICE,units_name_key,units,CREATE UNIQUE INDEX units_name_key ON public.units USING btree (name)
INDICE,units_pkey,units,CREATE UNIQUE INDEX units_pkey ON public.units USING btree (id)
INDICE,users_profiles_pkey,users_profiles,CREATE UNIQUE INDEX users_profiles_pkey ON public.users_profiles USING btree (id)
